candidate,params,fold,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,roc_auc,average_precision,brier_loss,log_loss,predicted_up_share
extra_trees,"{""model__max_depth"": 3}",3,0.5109170305676856,0.4919404125286478,0.5155555555555555,0.9747899159663865,0.6744186046511628,0.4891520244461421,0.5247942143239976,0.25007814070761725,0.6933069645906693,0.982532751091703
extra_trees,"{""model__max_depth"": 3}",4,0.5021834061135371,0.5000381388253242,0.5022026431718062,0.991304347826087,0.6666666666666666,0.540884820747521,0.5652527008539405,0.24922258660401578,0.6915513323318164,0.9912663755458515
extra_trees,"{""model__max_depth"": 6}",1,0.519650655021834,0.5072096947384568,0.5424836601307189,0.6747967479674797,0.6014492753623188,0.5269980058291149,0.5766370812391433,0.2495329763350219,0.6922011999311413,0.6681222707423581
extra_trees,"{""model__max_depth"": 6}",2,0.4585152838427948,0.4585244648318043,0.4824561403508772,0.4583333333333333,0.4700854700854701,0.4422018348623853,0.4773952512339496,0.2576448119847291,0.7087273134375838,0.4978165938864629
extra_trees,"{""model__max_depth"": 6}",3,0.5021834061135371,0.4880061115355233,0.5126903553299492,0.8487394957983193,0.6392405063291139,0.5117647058823529,0.5351703706780511,0.25028220754294295,0.6937206171359206,0.8602620087336245
extra_trees,"{""model__max_depth"": 6}",4,0.49344978165938863,0.4920289855072464,0.4973544973544973,0.8173913043478261,0.618421052631579,0.5128909229595728,0.5441501665809042,0.25052533148427786,0.6941391542510764,0.8253275109170306
hist_boost,"{""model__max_leaf_nodes"": 7}",1,0.48034934497816595,0.47518791225648105,0.5153846153846153,0.5447154471544715,0.5296442687747036,0.48297284859641054,0.5612317396116717,0.29882547313928126,0.8111096092327464,0.5676855895196506
hist_boost,"{""model__max_leaf_nodes"": 7}",2,0.4759825327510917,0.4806574923547401,0.5,0.38333333333333336,0.4339622641509434,0.48425076452599386,0.5015102442326906,0.2731330151888405,0.7453064170538406,0.4017467248908297
hist_boost,"{""model__max_leaf_nodes"": 7}",3,0.44541484716157204,0.43544690603514136,0.47674418604651164,0.6890756302521008,0.563573883161512,0.44415584415584414,0.48561862016597723,0.2670218132162853,0.7288124197999534,0.7510917030567685
hist_boost,"{""model__max_leaf_nodes"": 7}",4,0.49344978165938863,0.49321128909229595,0.49606299212598426,0.5478260869565217,0.5206611570247934,0.5051868802440885,0.5622324621653071,0.25687310745560676,0.7068016146780207,0.5545851528384279
hist_boost,"{""model__max_leaf_nodes"": 15}",1,0.5109170305676856,0.5042951372909956,0.5407407407407407,0.5934959349593496,0.5658914728682171,0.4893388556527075,0.5652989761719821,0.30050774606246416,0.8214819784137491,0.5895196506550219
hist_boost,"{""model__max_leaf_nodes"": 15}",2,0.49344978165938863,0.498585626911315,0.5222222222222223,0.39166666666666666,0.44761904761904764,0.517737003058104,0.5159859301145815,0.2788725215988892,0.7630395390890156,0.3930131004366812
hist_boost,"{""model__max_leaf_nodes"": 15}",3,0.4890829694323144,0.482620320855615,0.506578947368421,0.6470588235294118,0.5682656826568265,0.46455309396485867,0.4997138493975908,0.2783724808429447,0.757302748068371,0.6637554585152838
hist_boost,"{""model__max_leaf_nodes"": 15}",4,0.49344978165938863,0.49294431731502675,0.49645390070921985,0.6086956521739131,0.546875,0.5012204424103738,0.5504807665783165,0.2701267713656977,0.7364896956520471,0.6157205240174672
gradient_boost,"{""model__max_depth"": 1}",1,0.5152838427947598,0.5044485350513882,0.5405405405405406,0.6504065040650406,0.5904059040590406,0.49432428286547014,0.5422352024547817,0.2579202718866599,0.7099607886239861,0.6462882096069869
