steps,horizon,mean_reward,mean_abs_td,exposure,turnover_per_step,unique_dates,visited_states,candidate,training_seed
9810,90,0.017211836058132972,0.11213488355765008,0.1,0.2,1116,41,SARSA,19
9900,90,0.007786182617163152,0.10853657819063302,0.1,0.2,1116,41,SARSA,19
9990,90,-0.009635524862288055,0.39319810213613465,0.32222222222222224,0.36666666666666664,1116,41,SARSA,19
10080,90,0.11394905378656463,0.3266960601577287,0.3,0.17777777777777778,1116,41,SARSA,19
10170,90,0.12465696326741948,0.45564002755207206,0.2,0.2222222222222222,1116,41,SARSA,19
10260,90,0.03285748074870743,0.3012571166456164,0.36666666666666664,0.1111111111111111,1116,41,SARSA,19
10350,90,-0.007069081902268392,0.4120320051229409,0.2777777777777778,0.14444444444444443,1116,41,SARSA,19
10440,90,0.1372724032716915,0.7964735178809038,0.36666666666666664,0.13333333333333333,1116,41,SARSA,19
10530,90,-0.039542768305546296,0.6093126239816637,0.4,0.3111111111111111,1116,41,SARSA,19
10620,90,-0.0015685860346039797,0.37936800211296606,0.24444444444444444,0.2777777777777778,1116,41,SARSA,19
10710,90,-0.11031249202422304,0.5694922150128753,0.5555555555555556,0.23333333333333334,1116,41,SARSA,19
10800,90,0.017782695924441753,0.15959285871685455,0.16666666666666666,0.13333333333333333,1116,41,SARSA,19
10890,90,0.060775013251371156,0.6455420507693587,0.24444444444444444,0.28888888888888886,1116,41,SARSA,19
10980,90,0.20502274949976093,0.4620951940893607,0.4666666666666667,0.1111111111111111,1116,41,SARSA,19
11070,90,-0.16111767264101037,0.7491236247708954,0.6,0.34444444444444444,1116,41,SARSA,19
11160,90,-0.1178997977900205,0.2308963318239575,0.17777777777777778,0.3,1116,41,SARSA,19
11250,90,0.18888440518409663,0.2645919164629576,0.16666666666666666,0.15555555555555556,1116,41,SARSA,19
11340,90,0.05314718698702852,0.20866164257189623,0.24444444444444444,0.16666666666666666,1116,41,SARSA,19
11430,90,0.034883225579710506,0.3315164625164824,0.23333333333333334,0.26666666666666666,1116,41,SARSA,19
11520,90,-0.025169986401997416,0.28100828532320626,0.15555555555555556,0.15555555555555556,1116,41,SARSA,19
11610,90,-0.0960909263889027,0.5809823937320596,0.4111111111111111,0.35555555555555557,1116,41,SARSA,19
11700,90,-0.10272674140122227,0.5028001423242936,0.4444444444444444,0.36666666666666664,1116,41,SARSA,19
11790,90,-0.04663045092552849,0.30639530070175836,0.3,0.18888888888888888,1116,41,SARSA,19
11880,90,0.09963802489744228,0.682536525431052,0.6111111111111112,0.17777777777777778,1116,41,SARSA,19
11970,90,0.0071318896060891335,0.4847375814686208,0.34444444444444444,0.15555555555555556,1116,41,SARSA,19
12060,90,0.11908150706254032,0.29907552505038715,0.37777777777777777,0.16666666666666666,1116,41,SARSA,19
12150,90,0.18545412398685934,0.3572822873730154,0.36666666666666664,0.12222222222222222,1116,41,SARSA,19
12240,90,0.17115840407092786,0.48571430609824856,0.45555555555555555,0.14444444444444443,1116,41,SARSA,19
12330,90,0.07282703659243739,0.29304087538978074,0.32222222222222224,0.17777777777777778,1116,41,SARSA,19
12420,90,0.1616703858673936,0.6138825165663325,0.6,0.13333333333333333,1116,41,SARSA,19
12510,90,0.09324182773733922,0.37855715278869595,0.3111111111111111,0.18888888888888888,1116,41,SARSA,19
12600,90,0.1307308400926178,0.41113567525831113,0.3111111111111111,0.13333333333333333,1116,41,SARSA,19
